t1,key1,t2,key2,reduce,time
83273,13,20000,100,8,24133
83273,13,20000,100,10,26128
83273,13,20000,100,12,28121
83273,13,20000,300,4,22128
83273,13,20000,300,6,22192
83273,13,20000,300,8,24116
83273,13,20000,300,10,26128
83273,13,20000,300,12,26130
83273,13,50000,5,4,246128
83273,13,50000,5,6,152120
83273,13,50000,5,8,246136
83273,13,50000,5,10,108140
83273,13,50000,5,12,152140
94226,20,94226,20,4,96111
94226,20,94226,20,6,80122
94226,20,94226,20,8,74157
94226,20,94226,20,10,67266
94226,20,94226,20,12,66140
94226,20,34779,10,4,54382
94226,20,34779,10,6,44132
94226,20,34779,10,8,42132
94226,20,34779,10,10,40145
94226,20,34779,10,12,40130
94226,20,68326,4,4,74131
94226,20,68326,4,6,80569
94226,20,68326,4,8,78146
94226,20,68326,4,10,78142
94226,20,68326,4,12,76125
94226,20,22320,18,4,38258
94226,20,22320,18,6,34139
94226,20,22320,18,8,34121
94226,20,22320,18,10,36131
94226,20,22320,18,12,38132
94226,20,54197,18,4,68165
94226,20,54197,18,6,54118
94226,20,54197,18,8,52123
94226,20,54197,18,10,46350
94226,20,54197,18,12,52126
94226,20,20000,1,4,84130
94226,20,20000,1,6,82127
94226,20,20000,1,8,84128
94226,20,20000,1,10,84139
94226,20,20000,1,12,80136
94226,20,20000,3,4,42128
94226,20,20000,3,6,40131
94226,20,20000,3,8,42126
94226,20,20000,3,10,40110
94226,20,20000,3,12,40133
94226,20,20000,5,4,42122
94226,20,20000,5,6,36115
94226,20,20000,5,8,38122
94226,20,20000,5,10,36130
94226,20,20000,5,12,38136
94226,20,20000,10,4,36129
94226,20,20000,10,6,34135
94226,20,20000,10,8,34116
94226,20,20000,10,10,34112
94226,20,20000,10,12,34116
94226,20,20000,30,4,32130
94226,20,20000,30,6,30115
94226,20,20000,30,8,30126
94226,20,20000,30,10,32115
94226,20,20000,30,12,32126
94226,20,20000,50,4,28122
94226,20,20000,50,6,26131
94226,20,20000,50,8,26145
94226,20,20000,50,10,28129
94226,20,20000,50,12,30123
94226,20,20000,100,4,24143
94226,20,20000,100,6,24144
94226,20,20000,100,8,24138
94226,20,20000,100,10,28160
94226,20,20000,100,12,28134
94226,20,20000,300,4,22113
94226,20,20000,300,6,22129
94226,20,20000,300,8,26118
94226,20,20000,300,10,24143
94226,20,20000,300,12,26129
94226,20,50000,5,4,192142
94226,20,50000,5,6,116121
94226,20,50000,5,8,186130
94226,20,50000,5,10,84136
94226,20,50000,5,12,118197
34779,10,34779,10,4,44138
34779,10,34779,10,6,38130
34779,10,34779,10,8,40122
34779,10,34779,10,10,38122
34779,10,34779,10,12,40125
34779,10,68326,4,4,60118
34779,10,68326,4,6,64141
34779,10,68326,4,8,64129
34779,10,68326,4,10,62152
34779,10,68326,4,12,64143
34779,10,22320,18,4,30155
34779,10,22320,18,6,28117
34779,10,22320,18,8,28328
34779,10,22320,18,10,30136
34779,10,22320,18,12,30133
34779,10,54197,18,4,40129
34779,10,54197,18,6,36122
34779,10,54197,18,8,36138
34779,10,54197,18,10,36135
34779,10,54197,18,12,36128
34779,10,20000,1,4,66193
34779,10,20000,1,6,66143
